key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,key_resp_16.keys,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,condA,condB,ord,colour,key_resp_16.rt,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,key_resp_17.keys,key_resp_17.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7404,,0,0,0,1,1,Online_conjL1_un//c.ro.fo29.1110.1332.wav,1110,1332,pu,fa,ni,sil,ki,ro,fo,sil1,zu,cho,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8044,,0,1,1,0,1,Online_conjL1_un//c.ro.fo28.444.1110.wav,444,1110,ta,lu,ro,sil,be,fo,ri,sil1,cho,fa,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6214,,0,2,2,3,1,Online_conjL1_un//c.ro.fo31.0.1110.wav,0,1110,ro,ne,zu,sil,ta,fo,cho,sil1,be,ri,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,1,Online_conjL1_un//c.ro.fo30.none.none.wav,none,none,pu,ni,cho,sil,ki,la,lu,sil1,ne,fa,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,25,1,ro,fo,92:96,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,Online_conjL1_un//b.ta.be7.none.none.wav,none,none,zu,fa,lu,sil,pu,fo,ri,sil1,ki,ne,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,Online_conjL1_un//b.ta.be6.none.none.wav,none,none,la,fo,cho,sil,pu,fa,ro,sil1,ki,ze,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,1,Online_conjL1_un//b.ta.be5.none.none.wav,none,none,ri,ni,fo,sil,pu,la,ze,sil1,ki,zu,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,2.2638,,0,3,3,0,1,Online_conjL1_un//b.ta.be4.888.1776.wav,888,1776,fa,ri,cho,sil,ta,ni,ze,sil1,be,ro,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,16,1,ta,be,36:40,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,Online_conjL1_un//b.ta.be15.none.none.wav,none,none,fa,ri,cho,sil,pu,ne,la,sil1,ki,zu,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,y,0,1,1,0,1,Online_conjL1_un//b.ta.be12.0.888.wav,0,888,ta,lu,fa,sil,be,ri,la,sil1,fo,zu,sil2,,,,,,,,,,0.9202,,,,,,,,,,,,,,,,,,,,,,,,,,,
